游戏名称,游戏URL,AppID,原价,折扣价,基本好评率,详细好评率,基本标签,详细标签,基本发布时间,详细发布日期,游戏描述,开发商,发行商
Insurgency: Sandstorm,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_7000_150_41,581320,249.0,82.15,85.0,76.0,[],"['血腥', '独立', '氛围', '模拟', '动作', '多人', '射击', '第一人称', '战术', '在线合作', '合作', '开放世界', '拟真', '选择取向', '战争', '军事', '暴力', '第一人称射击', '大型多人在线', '困难']",2018-12-12,2018-12-12,Insurgency: Sandstorm是一款任务目标明确，融合团队配合、近距离作战的第一人称战术射击多人游戏。体验现代战争的紧张感，在战斗中磨练技术，与团队一起赢取胜利。,未知,Focus Entertainment
Dead by Daylight - Steady Pulse,https://store.steampowered.com/app/3698790/Dead_by_Daylight__Steady_Pulse/?snr=1_7_7_7000_150_41,3698790,,,72.0,72.0,[],"['动作', '血腥', 'LGBTQ+', '暴力']",2025-05-06,2025-05-06,未知,未知,未知
Storage Hunter Simulator,https://store.steampowered.com/app/1442430/Storage_Hunter_Simulator/?snr=1_7_7_7000_150_41,1442430,142.85,108.35000000000001,82.0,80.0,[],"['独立', '工作模拟', '商店管理', '管理', '模拟', '放松', '经济', '多人', '贸易', '沉浸式模拟', '资源管理', '单人', '驾驶', '第一人称', '资本主义', '刷宝', '休闲', '拟真', '3D', '抢先体验']",2024-10-10,2024-10-10,参与废弃的仓库以及集装箱的拍卖。你的任务是正确的估计房间里物品的价值。赚的钱最多的人就获胜。游戏中的不同地点环境以及竞拍者肯定会带俩很多的惊喜。,未知,BeardedBrothers.Games
GGST Additional Character 14 - Queen Dizzy,https://store.steampowered.com/app/2524070/GGST_Additional_Character_14__Queen_Dizzy/?snr=1_7_7_7000_150_41,2524070,,,90.0,90.0,[],"['动作', '可爱', '生存恐怖', '女性主角', '心理恐怖']",2024-10-31,2024-10-31,未知,未知,Arc System Works
Little Big Workshop,https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_7000_150_42,574720,119.5,597.0,84.0,84.0,[],"['独立', '制作', '管理', '城市营造', '等角视角', '模拟', '欢乐', '经济', '基地建设', '自动化', '资源管理', '单人', '战术', '建造', '重玩价值', '可爱', '休闲', '3D', '沙盒', '策略']",2019-10-17,2019-10-17,管理你的工人、工作站和机器，规划和生产超赞的产品，让你的小小车间，成长为梦想中的工厂！,未知,HandyGames
世界树的迷宫 HD REMASTER,https://store.steampowered.com/app/1868180/_HD_REMASTER/?snr=1_7_7_7000_150_42,1868180,,,89.0,75.0,[],"['日系角色扮演', '回合制战斗', '网格导向动作', '动漫', '2D', '迷宫探索', '欢乐', '可爱', '困难', '好评原声音轨', '团队角色扮演', '角色扮演', '冒险', '单人', '第一人称', '3D', '回合制', '奇幻']",2023-06-14,2023-06-14,ATLUS的人气3D迷宫RPG系列第一作《世界树的迷宫》重新归来，画面更加美丽，系统更易上手。 在小城“埃托利亚”的城外发现的巨大地下树海 “世界树的迷宫”。 玩家将化身冒险者，为了寻求巨额财宝而踏入迷宫。,未知,SEGA
Slackers - Carts of Glory,https://store.steampowered.com/app/2354000/Slackers__Carts_of_Glory/?snr=1_7_7_7000_150_42,2354000,74.5,52.150000000000006,90.0,84.0,[],"['独立', '模拟', '教程', '街机', '欢乐', '彩色', '多人', '滑板', '风格化', '第三人称', '驾驶', '单人', '第一人称', '控制器', '休闲', '竞速', '3D', '物理', '时间竞速', '困难']",2024-09-18,2024-09-18,"走进 ""懒人 ""的奇妙世界《Slackers - Carts of Glory》 想象一下：你和朋友们的饮料喝完了，商店要关门了！跳上一辆终极环保奇迹--购物车，掌握驾驭变幻莫测的野兽的艺术，发现通往荣耀之路的捷径！",未知,Falling Saints
Tower Dominion,https://store.steampowered.com/app/3226530/Tower_Dominion/?snr=1_7_7_7000_150_42,3226530,,,83.0,83.0,[],"['即时战略', '等角视角', '外星人', '基地建设', '资源管理', '单人', '战术', '建造', '类 Rogue', '选择取向', '职业导向', '科幻', '程序生成', '战争', '3D', '自走棋', '塔防', '轻度 Rogue', '军事', '策略']",2025-05-07,2025-05-07,在这款独特的 Roguelike 塔防游戏中，一边建造和设计地形，一边防御你的堡垒，抵御外星人入侵。从 30 位英雄中选择，抵挡一波又一波的敌人，并升级各种强力防御塔来坚守防线！,未知,Parallel 45 Games
Bonfire Peaks,https://store.steampowered.com/app/1147890/Bonfire_Peaks/?snr=1_7_7_7000_150_42,1147890,115.0,920.0,96.0,96.0,[],"['独立', '电影式', '氛围', '非线性', '网格导向动作', '推箱子', '放松', '风格化', '第三人称', '单人', '像素图形', '复古', '孩童', '开放世界', '体素', '3D', '解谜', '冒险', '困难']",2021-09-30,2021-09-30,在美丽的体素风谜题之岛上，将你的持有之物统统付之一炬。,未知,Draknek & Friends
超级跑车收藏模拟器,https://store.steampowered.com/app/3453600/_/?snr=1_7_7_7000_150_42,3453600,,,89.0,89.0,[],"['爱好模拟', '工作模拟', '管理', '集换式卡牌游戏', '模拟', '放松', '经济', '多人', '收集马拉松', '贸易', '沉浸式模拟', '生活模拟', '单人', '第一人称', '资本主义', '竞速', '卡牌游戏', '棋盘游戏', '库存管理', '抢先体验']",2025-04-14,2025-04-14,开设你自己的 diecast 商店！打开惊喜汽车包，扩展你的收藏，与客户在赛道上参加刺激的比赛，玩在线交易游戏。一个充满速度和兴奋的世界在你的商店等着你！,未知,Kiki Games
ARK: Aberration - Expansion Pack,https://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_7000_150_42,708770,,,78.0,100.0,[],"['独立', '制作', '恐龙', '探索', '玩家对战环境', '动作', '多人', '基地建设', '角色扮演', '单人', '建造', '奇幻', '合作', '免费开玩', '开放世界', '科幻', '沙盒', '生存', '冒险', '大型多人在线']",2017-12-12,2017-12-12,未知,未知,未知
热血物语SP,https://store.steampowered.com/app/2090370/SP/?snr=1_7_7_7000_150_42,2090370,187.0,93.5,48.0,48.0,[],"['类银河战士恶魔城', '剧情', '玩家对战环境', '动作', '多人', '80 年代', '本地多人', '单人', '像素图形', '横向滚屏', '老式', '本地合作', '在线合作', '动作冒险', '2D 平台', '玩家对战', '清版动作', '2D', '剧情丰富', '砍杀']",2023-10-11,2023-10-11,再次回归的「热血物语」！ 增加全新视角故事的动作RPG！,未知,Arc System Works
无人生还,https://store.steampowered.com/app/1963370/_/?snr=1_7_7_7000_150_42,1963370,95.0,912.0,67.0,43.0,[],"['血腥', '制作', '探索', '多人', '生存恐怖', '第三人称', '僵尸', '单人', '第一人称', '角色扮演', '建造', '在线合作', '合作', '开放世界', '3D', '沙盒', '后末日', '生存', '冒险', '抢先体验']",2023-01-14,2023-01-14,无人生还是一款多人合作的开放世界建造生存沙盒游戏，你和你的朋友必须在这个世界寻找物资，建造庇护所。 你必须随时注意你的人物需求状态，一个不好的状态很可能导致死亡。,未知,Cat Play Studio
推币勇者,https://store.steampowered.com/app/3036010/_/?snr=1_7_7_7000_150_42,3036010,60.0,51.0,77.0,77.0,[],"['独立', '氛围', '挂机游戏', '探索', '模拟', '放松', '街机', '风格化', '角色扮演', '单人', '资本主义', '刷宝', '奇幻', '休闲', '卡通', '战争', '3D', '策略', '物理', '战斗']",2025-05-22,2025-05-22,《推币勇者》是一款融合了推币机玩法的RPG半放置类游戏，除了丰富的角色、物品、装备外，您还可以自由招募勇者，升级城镇，BD构筑，为他们配置天赋、解锁背景，不断扩大势力，打造风格各异的强大战队！欢迎加入qq群：954251687,未知,Wise Games
GBVSR - 追加角色包“圣德芬”,https://store.steampowered.com/app/3397140/GBVSR/?snr=1_7_7_7000_150_42,3397140,,,,,[],['动作'],2025-02-25,2025-02-25,未知,未知,未知
Construction Simulator,https://store.steampowered.com/app/1273400/Construction_Simulator/?snr=1_7_7_7000_150_42,1273400,,,82.0,84.0,[],"['城市营造', '模拟', '放松', '多人', '沉浸式模拟', '第三人称', '驾驶', '第一人称', '单人', '建造', '在线合作', '孩童', '开放世界', '拟真', '教育', '休闲', '女性主角', '汽车模拟', '物理', '交通运输']",2022-09-20,2022-09-20,《Construction Simulator》重磅回归，规模更胜从前，也更令人惊叹！在导师哈普的帮助下白手起家，实现自己成为一名成功建筑业企业家的抱负。处理各种不同规模和要求的有趣项目，帮助你增加营收，以便为车队增添更加强力的建筑机械,未知,astragon Entertainment
机动战士高达 激战任务２ 豪华配乐＆代币包 Vol.2,https://store.steampowered.com/app/2804600/_2__Vol2/?snr=1_7_7_7000_150_42,2804600,,,,,[],"['角色自定义', '机器人', '动漫', '团队导向', '玩家对战环境', '动作', '多人', '第三人称射击', '射击', '第三人称', '单人', '战术', '合作', '免费开玩', '休闲', '玩家对战', '3D', '心理恐怖', '机甲', '军事']",2024-02-15,2024-02-15,未知,未知,Bandai Namco Entertainment Inc.
Demonologist,https://store.steampowered.com/app/1929610/Demonologist/?snr=1_7_7_7000_150_42,1929610,,,86.0,83.0,[],"['独立', '悬疑', '黑暗', '电影式', '惊悚', '洛夫克拉夫特式', '恶魔', '调查', '推理', '动作', '多人', '生存恐怖', '超现实', '第一人称', '战术', '恐怖', '在线合作', '合作', '3D', '心理恐怖']",2023-09-25,2023-09-25,恶魔学家是一款合作式恐怖游戏，可由至少1名和最多4名玩家一起玩。你的目标是识别被诅咒的地方的恶灵类型，并使用你的设备将其驱除，无论是单独还是与你的团队合作。,未知,Clock Wizard Games
"Ranch Simulator: Build, Hunt, Farm",https://store.steampowered.com/app/1119730/Ranch_Simulator_Build_Hunt_Farm/?snr=1_7_7_7000_150_42,1119730,128.5,591.0,80.0,78.0,[],"['独立', '工作模拟', '管理', '模拟', '狩猎', '放松', '经济', '多人', '贸易', '沉浸式模拟', '单人', '第一人称', '在线合作', '合作', '开放世界', '拟真', '农场模拟', '破坏', '沙盒', '农场管理']",2023-11-03,2023-11-03,建筑工。农民。猎人。商人。放牧当然不是你的全部工作。你觉得自己有能力将家里破败的宅基地经营成为最繁荣的牧场吗？现在是时候进入到这个开放世界模拟游戏中独身一人或是与大家一起探索荒野的魅力了。,未知,Excalibur Games
"阿西, 美女室友竟然...？",https://store.steampowered.com/app/3021100/_/?snr=1_7_7_7000_150_42,3021100,,,91.0,91.0,[],"['色情内容', '视觉小说', '全动态影像', '情感', '爱情', '剧情', '模拟', '放松', '多人', '沉浸式模拟', '自选历险体验', '单人', '第一人称', '角色扮演', '多结局', '选择取向', '女性主角', '互动小说', '剧情丰富', '恋爱模拟']",2024-10-02,2024-10-02,“‘租客招募中！”一直独自生活的吴宥万，平淡的日常生活中突然闯入了5位美女租客。“青梅竹马””、“初恋小偶像”、“霸道上司姐姐”、“天然呆的直球妹妹”和“孤僻社恐宅女”中，他应该选择谁呢？,未知,Storytaco
Understand 顿悟,https://store.steampowered.com/app/1299400/Understand/?snr=1_7_7_7000_150_42,1299400,470.0,329.0,91.0,91.0,[],"['独立', '仅鼠标', '2D', '教育', '休闲', '试验性', '逻辑', '极简主义', '解谜', '单人', '困难', '抽象']",2020-10-30,2020-10-30,顿悟是一个关于猜规则的实验性解谜游戏。在每一关中，你需要通过试错掌握规则，然后画一条满足所有规则的线。,未知,Artless Games
黎明杀机-生化危机W计划,https://store.steampowered.com/app/2102730/W/?snr=1_7_7_7000_150_42,2102730,,,84.0,84.0,[],"['血腥', '暴力', '动作', '多人', '色情内容', '生存恐怖', '可爱', 'LGBTQ+', '心理恐怖', '恐怖', '工作场所不宜']",2022-08-30,2022-08-30,未知,未知,Behaviour Interactive Inc.
WARRIORS OROCHI 4 / 無雙OROCHI 蛇魔３,https://store.steampowered.com/app/831560/WARRIORS_OROCHI_4__OROCHI_3/?snr=1_7_7_7000_150_42,831560,,,86.0,68.0,[],"['角色自定义', '动漫', '无双', '色情内容', '好评原声音轨', '动作', '多人', '第三人称', '砍杀', '单人', '奇幻', '本地合作', '日系角色扮演', '动作角色扮演', '合作', '清版动作', '女性主角', '冒险', '历史', '神话']",2018-10-15,2018-10-15,在战术动作游戏“無雙OROCHI 蛇魔”系列最新版《無雙OROCHI 蛇魔３》的基础上，追加内容《無雙OROCHI 蛇魔３ Ultimate 升级包》汇集了更多的耐玩要素。 究极的“無雙OROCHI 蛇魔”在此完成！,未知,"KOEI TECMO GAMES CO., LTD."
地狱卡牌 Hellcard,https://store.steampowered.com/app/1201540/_Hellcard/?snr=1_7_7_7000_150_42,1201540,,,86.0,90.0,[],"['合作战役', '等角视角', '迷宫探索', '牌组构建式类 Rogue', '多人', '卡牌战斗', '角色扮演', '单人', '奇幻', '本地合作', '类 Rogue', '在线合作', '回合制战斗', '合作', '卡牌游戏', '回合制', '轻度 Rogue', '策略', '牌组构建', '困难']",2024-02-01,2024-02-01,《地狱卡牌》是一款既可单人游玩又可多人联机的卡牌游戏，抢先体验阶段即拥有300张规模的卡池并支持联机。你需要合理利用与怪物的距离及各卡牌的特性。招募AI控制的同伴，或是携手其他玩家，与他们一起合作对抗地狱魔军和大魔王本尊吧。,未知,Skystone Games
