游戏名称,游戏URL,AppID,原价,折扣价,基本好评率,详细好评率,基本标签,详细标签,基本发布时间,详细发布日期,游戏描述,开发商,发行商
艾尔登法环 黑夜君临,https://store.steampowered.com/app/2622380/_/?snr=1_7_7_7000_150_1,2622380,,,67.0,,[],[],2025-05-29,,未知,未知,未知
幻想生活ｉ 转圈圈的龙和偷取时间的少女,https://store.steampowered.com/app/2993780/i/?snr=1_7_7_7000_150_1,2993780,,,92.0,92.0,[],"['角色自定义', '制作', '城市营造', '探索', '玩家对战环境', '动作', '多人', '第三人称', '角色扮演', '单人', '奇幻', '在线合作', '日系角色扮演', '动作冒险', '合作', '可爱', '休闲', '开放世界', '团队角色扮演', '3D']",2025-05-21,2025-05-21,钓钓鱼，做做菜，建设建设岛屿，去广阔的大地图和伙伴们一起与怪物战斗……踏入这款慢生活角色扮演游戏的幻想世界，自由切换14种各有特色的职业，随心所欲地享受每一次冒险带来的惊喜吧！,未知,LEVEL5 Inc.
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1,1172470,,,67.0,58.0,[],"['角色自定义', '电影式', '团队导向', '大逃杀', '英雄射击', '欢乐', '动作', '多人', '射击', '故事架构丰富', '第一人称', '刷宝', '战术', '合作', '免费开玩', '玩家对战', '科幻', '赛博朋克', '生存', '第一人称射击']",2020-11-04,2020-11-04,由Respawn Entertainment开发制作，屡获殊荣的《Apex Legends》，是一款免费大逃杀英雄射击游戏。在这款革命性的新一代大逃杀英雄射击游戏中，掌控日益丰富且拥有强大技能的传奇角色，深度体验战术小队玩法及创新游戏元素。,未知,Electronic Arts
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_7000_150_1,1449850,,,74.0,60.0,[],"['动漫', '好评原声音轨', '集换式卡牌游戏', '模拟', '龙', '玩家对战环境', '多人', '卡牌战斗', '单人', '战术', '奇幻', '免费开玩', '玩家对战', '卡牌游戏', '3D', '2D', '策略', '回合制战术', '电竞', '牌组构建']",2022-01-18,2022-01-18,史上最强的数位卡牌遊戏！,未知,KONAMI
Monster Hunter Wilds,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/?snr=1_7_7_7000_150_1,2246340,,,62.0,43.0,[],"['角色自定义', '色情内容', '好评原声音轨', '氛围', '龙', '狩猎', '动作', '多人', '第三人称', '角色扮演', '单人', '奇幻', '在线合作', '动作角色扮演', '合作', '开放世界', '可爱', '冒险', '水底', '恋爱模拟']",2025-02-27,2025-02-27,狂野凶猛的大自然，袭来。 时刻都在动态变化的原野。 这是个关于生活在具有两面性的世界中的怪物与人们的故事。 进化的狩猎动作，寻求连续不断的沉浸感，究极的狩猎体验正等待你的到来。,未知,"CAPCOM Co., Ltd."
星之翼（Starward）,https://store.steampowered.com/app/2764370/Starward/?snr=1_7_7_7000_150_1,2764370,,,62.0,61.0,[],"['动漫', '动作', '多人', '第三人称射击', '射击', '竞技场射击', '第三人称', '卡牌战斗', '角色扮演', '华丽格斗', '3D 格斗', '合作', '玩家对战', '卡通', '女性主角', '3D', '机甲', '2D', '战斗', '电竞']",2024-04-24,2024-04-24,《星之翼》Steam版本为亚洲服务器版本，账号与其他服务器不互通。《星之翼》是一款融合了机甲美少女与经典GVG格斗玩法的3D竞技游戏，玩法以1V1、2V2对战为核心。在《星之翼》中，玩家可操纵个性鲜明、战斗风格迥异的机甲少女，通过格斗射击、敏捷操作、战术制定，感受不止于地面的三维战斗体验。,未知,盛天游戏
剑星,https://store.steampowered.com/app/3489700/_/?snr=1_7_7_7000_150_1,3489700,,,,,[],[],2025-06-11,,未知,未知,未知
F1® 25,https://store.steampowered.com/app/3059520/F1_25/?snr=1_7_7_7000_150_1,3059520,,,89.0,89.0,[],"['模拟', '体育', '在线合作', '合作', '多人', '汽车模拟', '竞速', '玩家对战', '虚拟现实', '驾驶', '单人']",2025-05-30,2025-05-30,在 2025 赛季国际汽联世界一级方程式锦标赛™官方电子游戏《F1® 25》中为赛车界留下您的印记。焕然一新的我的车队模式、扣人心弦的《刹车点》第三章等精彩内容等您体验！,未知,Electronic Arts
Street Fighter 6,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_7000_150_1,1364780,,,84.0,,[],[],2023-06-01,,未知,未知,未知
The Elder Scrolls IV: Oblivion Remastered,https://store.steampowered.com/app/2623190/The_Elder_Scrolls_IV_Oblivion_Remastered/?snr=1_7_7_7000_150_1,2623190,346.5,277.2,81.0,78.0,[],"['角色自定义', '血腥', '色情内容', '好评原声音轨', '氛围', '探索', '动作', '多人', '第三人称', '单人', '角色扮演', '政治', '第一人称', '奇幻', '动作角色扮演', '动作冒险', '开放世界', '暴力', '冒险', '剧情丰富']",2025-04-22,2025-04-22,体验全新制作的精美画面和悉心改善的游戏系统，在《上古卷轴IV：湮灭重制版》中探索前所未有的西罗帝尔。,未知,Bethesda Softworks
勇者斗恶龙III HD-2D Remake,https://store.steampowered.com/app/2701660/III_HD2D_Remake/?snr=1_7_7_7000_150_1,2701660,383.90000000000003,287.90000000000003,71.0,,[],[],2024-11-14,,未知,未知,未知
光与影：33号远征队,https://store.steampowered.com/app/1903340/33/?snr=1_7_7_7000_150_1,1903340,,,95.0,,[],[],2025-04-24,,未知,未知,未知
《守望先锋® 2》,https://store.steampowered.com/app/2357570/_2/?snr=1_7_7_7000_150_1,2357570,,,23.0,,[],[],2023-08-10,,未知,未知,未知
艾尔登法环,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_7000_150_1,1245620,,,92.0,,[],[],2022-02-24,,未知,未知,未知
勇者斗恶龙XI S 寻觅逝去的时光 - Definitive Edition,https://store.steampowered.com/app/1295510/XI_S___Definitive_Edition/?snr=1_7_7_7000_150_1,1295510,273.90000000000003,136.95000000000002,93.0,,[],[],2020-12-04,,未知,未知,未知
Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_7000_150_1,3513350,,,89.0,,[],[],2025-04-28,,未知,未知,未知
七日世界,https://store.steampowered.com/app/2139460/_/?snr=1_7_7_7000_150_1,2139460,,,74.0,77.0,[],"['角色自定义', '模拟', '大型多人在线角色扮演', '动作', '多人', '基地建设', '射击', '单人', '恐怖', '在线合作', '合作', '免费开玩', '开放世界', '3D', '后末日', '开放世界生存制作', '策略角色扮演', '策略', '生存', '冒险']",2024-07-09,2024-07-09,《七日世界》是一款多人在线开放世界生存游戏，游戏发生在一个怪诞的末世背景下。你需要和好友并肩为了生存资源而战，建造你们的家园领地，并一起战胜恐怖的畸变体，揭露世界沦陷的真相。曾经，你是人类中的一分子。现在，你仍是吗？,未知,Starry Studio
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,730,,,86.0,80.0,[],"['团队导向', '动作', '竞技', '多人', '快节奏', '射击', '贸易', '第一人称', '战术', '在线合作', '合作', '拟真', '玩家对战', '战争', '军事', '策略', '可模组化', '第一人称射击', '电竞', '困难']",2012-08-21,2012-08-21,二十多年来，在全球数百万玩家的共同铸就下，Counter-Strike 提供了精湛绝伦的竞技体验。而如今，CS 传奇的下一章即将揭开序幕，那就是 Counter-Strike 2。,未知,Valve
GUILTY GEAR -STRIVE-,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE/?snr=1_7_7_7000_150_1,1384160,,,88.0,85.0,[],"['动漫', '好评原声音轨', '电影式', '剧情', '街机', '动作', '多人', '本地多人', '故事架构丰富', '2.5D', '奇幻', '休闲', '玩家对战', '格斗', '2D 格斗', '3D', 'LGBTQ+', '2D', '战斗', '剧情丰富']",2021-06-11,2021-06-11,仿佛似手画2D动画的华丽表现，更加以进化升华。彻底的讲究终极的美丽，为您呈现最先端，最新时代映像的格斗游戏！,未知,Arc System Works
机动战士高达 激战任务２,https://store.steampowered.com/app/1367080/_2/?snr=1_7_7_7000_150_1,1367080,,,21.0,,[],[],2023-05-30,,未知,未知,未知
黎明杀机,https://store.steampowered.com/app/381210/_/?snr=1_7_7_7000_150_1,381210,,,79.0,,[],[],2016-06-14,,未知,未知,未知
Snowbreak: Containment Zone,https://store.steampowered.com/app/2668080/Snowbreak_Containment_Zone/?snr=1_7_7_7000_150_1,2668080,,,77.0,73.0,[],"['动漫', '动漫色情', '色情内容', '动作', '多人', '第三人称射击', '射击', '角色扮演', '单人', '在线合作', '日系角色扮演', '动作角色扮演', '合作', '免费开玩', '可爱', '科幻', '3D', '裸露', '3D 平台', '剧情丰富']",2023-12-24,2023-12-24,3D美少女射击RPG「Snowbreak: Containment Zone」公测正式开启。命运狙击，踏雪一战！ 完成指定关卡即可获得自选橙色品质角色一位。,未知,Amazing Seasun Games
勇者斗恶龙I & II HD-2D Remake,https://store.steampowered.com/app/2893570/I__II_HD2D_Remake/?snr=1_7_7_7000_150_1,2893570,,,,,[],[],2025-10-30,,未知,未知,未知
漫威争锋,https://store.steampowered.com/app/2767030/_/?snr=1_7_7_7000_150_1,2767030,,,79.0,67.0,[],"['多人在线战术竞技', '色情内容', '团队导向', '英雄射击', '动作', '多人', '竞技', '第三人称射击', '射击', '第三人称', '在线合作', '合作', '免费开玩', '玩家对战', '科幻', '赛博朋克', '3D', '超级英雄', '策略', '第一人称射击']",2024-12-05,2024-12-05,《漫威争锋》是一款由漫威IP正版授权、网易自研的超级英雄PVP团队射击游戏。玩家可以从丰富多样的超级英雄阵容中挑选心仪角色，组成全明星队伍，在漫威多元宇宙中各种可破坏的地图上，利用独特的超能力进行精彩激战。成为超级英雄，集结你的小队，一起战斗吧！,未知,NetEase Games
JDM: 漂移大师,https://store.steampowered.com/app/1153410/JDM/?snr=1_7_7_7000_150_1,1153410,198.0,168.3,73.0,73.0,[],"['氛围', '探索', '模拟', '体育', '街机', '彩色', '第三人称', '驾驶', '单人', '控制器', '开放世界', '竞速', '拟真', '休闲', '时空操控', '3D', '汽车模拟', '物理', '战斗竞速', '剧情丰富']",2025-05-21,2025-05-21,在《JDM：漂移大师》中，尽情享受日本传奇的汽车文化！游戏采用精致的物理引擎，带您驰骋于充满挑战的赛道；通过漫画风格的叙事，带您沉浸于灵感源自真实美景的开放世界。每一个弯道，都是对您漂移技术的最终考验！,未知,Gaming Factory
SAEKO：女巨人恋爱模拟,https://store.steampowered.com/app/2492120/SAEKO/?snr=1_7_7_7000_150_1,2492120,89.5,80.55000000000001,88.0,88.0,[],"['独立', '指向点击', '视觉小说', '色情内容', '氛围', '爱情', '生存恐怖', '自选历险体验', '单人', '像素图形', '恐怖', '多结局', '黑暗奇幻', '可爱', '选择取向', '2D', '黑色幽默', '冒险', '剧情丰富', '恋爱模拟']",2025-05-29,2025-05-29,睁开双眼时，一位体型巨大的少女正俯瞰着自己——新奇的美术风格，残忍而又诱人深入的故事，带你体验冴子与矮人们的奇妙生活。,未知,HYPER REAL
Granblue Fantasy Versus: Rising,https://store.steampowered.com/app/2157560/Granblue_Fantasy_Versus_Rising/?snr=1_7_7_7000_150_1,2157560,330.0,128.70000000000002,82.0,81.0,[],"['角色自定义', '动漫', '色情内容', '好评原声音轨', '动作', '多人', '竞技', '本地多人', '单人', '奇幻', '日系角色扮演', '动作角色扮演', '免费开玩', '玩家对战', '格斗', '女性主角', '2D 格斗', 'LGBTQ+', '电竞', '剧情丰富']",2023-12-13,2023-12-13,大幅降低格斗游戏门槛的GBVS全面改进后的最新作！ 摆脱复杂的出招指令，入门格斗游戏的教科书！ 让所有玩家都能轻松享受更有深度的对战！,未知,"Cygames, Inc."
使命召唤®,https://store.steampowered.com/app/1938090/_/?snr=1_7_7_7000_150_1,1938090,,,58.0,54.0,[],"['血腥', '氛围', '现代', '动作', '多人', '第三人称射击', '射击', '第三人称', '单人', '第一人称', '战术', '在线合作', '合作', '拟真', '战争', '军事', '暴力', '第一人称射击', '剧情丰富', '成人']",2022-10-27,2022-10-27,使命召唤®体验支持《使命召唤®：黑色行动 6》，《使命召唤®：现代战争® III 2023》，《使命召唤®：现代战争® II 2022》和《使命召唤®：战争地带™》。,未知,Activision
《使命召唤®：黑色行动 6》黑色组织（第4赛季）,https://store.steampowered.com/app/3203390/_64/?snr=1_7_7_7000_150_1,3203390,,,47.0,47.0,[],"['动作', '血腥', '暴力']",2025-05-29,2025-05-29,未知,未知,未知
Tom Clancy’s The Division® 2,https://store.steampowered.com/app/2221490/Tom_Clancys_The_Division_2/?snr=1_7_7_7000_150_1,2221490,209.0,418.0,77.0,,[],[],2023-01-12,,未知,未知,未知
Gunner-chan!,https://store.steampowered.com/app/2516990/Gunnerchan/?snr=1_7_7_7000_150_1,2516990,60.0,54.0,100.0,100.0,[],"['机甲', '机器人', '控制器', '独立', '动作', '俯视', '动作类 Rogue', '科幻', '2.5D', '单人', '女性主角', '俯视射击']",2025-05-30,2025-05-30,这是一款以被机器人叛乱占领的基地为舞台展开的 2.5D 俯视角射击动作游戏。,未知,kido
No Man's Sky 无人深空,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_7000_150_1,275850,325.0,130.0,81.0,90.0,[],"['独立', '制作', '氛围', '探索', '模拟', '动作', '多人', '太空模拟', '虚拟现实', '单人', '第一人称', '开放世界', '太空', '科幻', '程序生成', '沙盒', '开放世界生存制作', '生存', '第一人称射击', '冒险']",2016-08-12,2016-08-12,《无人深空》是一款打破边界的科幻游戏，通过创新的随机生成技术，打造了一个无尽宇宙供玩家自由探索，玩家可以穿越星际、挖掘未知星球、建立基地并与神秘外星生物共生，每个探险家都将书写属于自己的宇宙传奇。,未知,Hello Games
方舟: 生存飞升,https://store.steampowered.com/app/2399830/_/?snr=1_7_7_7000_150_1,2399830,,,59.0,61.0,[],"['角色自定义', '制作', '恐龙', '玩家对战环境', '动作', '多人', '基地建设', '单人', '角色扮演', '建造', '奇幻', '开放世界', '玩家对战', '科幻', '沙盒', '库存管理', '生存', '冒险', '抢先体验', '大型多人在线']",2023-10-25,2023-10-25,"《方舟》采用虚幻引擎 5 重新设计，并融入了下一代电子游戏技术！组建一个部落, 驯养和繁殖数百种恐龙和其他原始生物，探索、制作、建造，并一路进发至食物链的顶端. 快来加入这场新的冒险吧!",未知,Studio Wildcard
护核纪元,https://store.steampowered.com/app/1621690/_/?snr=1_7_7_7000_150_1,1621690,115.0,80.5,92.0,89.0,[],"['制作', '悬疑', '氛围', '烹饪', '探索', '模拟', '放松', '迷宫探索', '像素图形', '建造', '在线合作', '采矿', '休闲', '程序生成', '农场模拟', '沙盒', '开放世界生存制作', '2D', '生存', '冒险']",2024-08-27,2024-08-27,这是一款可供 1 至 8 名玩家畅玩的挖矿类沙盒冒险游戏，你将探索一座充满各种生物、遗物与资源的无穷无尽的洞窟。不断挖掘、建造、战斗、打造、耕作，最终揭晓古代核心的奥秘。,未知,Fireshine Games
Call of Duty®: Black Ops 6,https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6/?snr=1_7_7_7000_150_1,2933620,490.0,269.5,45.0,30.0,[],"['血腥', '爱情', '玩家对战环境', '动作', '多人', '射击', '单人', '第一人称', '资本主义', '在线合作', '合作', '开放世界', '拟真', '玩家对战', '战争', '军事', '暴力', '第一人称射击', '剧情丰富', '人工智能']",2024-10-24,2024-10-24,《使命召唤®：黑色行动 6》是标志性的《黑色行动》系列，史诗电影般的单人战役、一流的多人游戏体验以及波次制丧尸模式的强势回归。,未知,Activision
The Last of Us™ Part I,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_7000_150_1,1888930,379.5,189.75,80.0,,[],[],2023-03-28,,未知,未知,未知
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,252490,,,87.0,84.0,[],"['独立', '制作', '模拟', '动作', '多人', '射击', '第一人称', '建造', '在线合作', '合作', '开放世界', '玩家对战', '后末日', '沙盒', '开放世界生存制作', '裸露', '生存', '第一人称射击', '冒险', '抢先体验']",2018-02-08,2018-02-08,在《Rust》的世界里，生存即是唯一目标。万事万物都想要置你于死地：岛上的野生动物、其他居民、环境以及其他幸存者。尽一切可能，再熬过一个晚上吧。,未知,Facepunch Studios
Tinkerlands,https://store.steampowered.com/app/2617700/Tinkerlands/?snr=1_7_7_7000_150_1,2617700,75.0,56.25,84.0,84.0,[],"['独立', '制作', '探索', '动作', '多人', '角色扮演', '单人', '像素图形', '建造', '在线合作', '重玩价值', '合作', '开放世界', '沙盒', '开放世界生存制作', '2D', '策略', '生存', '冒险', '抢先体验']",2025-05-23,2025-05-23,深入充满未知的岛屿，四处探索，动手建造，迎战敌人，独自生存或者多人合作都可以！在有趣的生存冒险游戏《造作海岛》里，你将建设聚落、制作生存必备的实用工具，甚至还会用到魔法！,未知,HypeTrain Digital
《EA SPORTS FC™ 25》,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/?snr=1_7_7_7000_150_1,2669320,,,49.0,55.0,[],"['现代', '足球', '模拟', '体育', '多人', '竞技', '本地多人', '单人', '本地合作', '在线合作', '控制器', '合作', '孩童', '免费开玩', '拟真', '玩家对战', 'LGBTQ+', '分屏', '电竞', '原声音轨']",2024-09-26,2024-09-26,《EA SPORTS FC™ 25》将为您带来更多为俱乐部奋勇争胜的方式。在您最喜爱的模式中通过全新 5 对 5 Rush 与好友并肩作战，借助 FC IQ 以前所未有的强大战术掌控力引领您的俱乐部走向胜利。,未知,Electronic Arts
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,230410,,,87.0,,[],[],2013-03-25,,未知,未知,未知
勇者斗恶龙 怪物仙境3 魔族王子与精灵的旅程,https://store.steampowered.com/app/2175540/_3/?snr=1_7_7_7000_150_1,2175540,249.0,149.4,77.0,76.0,[],"['生物收集', '动漫', '龙', '恶人主角', '收集马拉松', '中世纪', '角色扮演', '单人', '奇幻', '日系角色扮演', '回合制战斗', '魔法', '可爱', '团队角色扮演', '3D', '回合制', '无声主角', '回合制战术', '牌组构建', '剧情丰富']",2024-09-11,2024-09-11,《勇者斗恶龙 怪物仙境3 魔族王子与精灵的旅程》登陆Steam®！用“勇者斗恶龙”系列耳熟能详的怪物组建队伍，享受怪物间动人心魄的战斗吧！,未知,Square Enix
RoadCraft,https://store.steampowered.com/app/2104890/RoadCraft/?snr=1_7_7_7000_150_1,2104890,,,73.0,73.0,[],"['现代', '探索', '模拟', '多人', '基地建设', '自动化', '沉浸式模拟', '驾驶', '建造', '在线合作', '控制器', '合作', '拟真', '自然', '破坏', '3D', '物理', '汽车模拟', '交通运输', '冒险']",2025-05-20,2025-05-20,作为一位专门应对自然灾害的重建专家，运用你的建筑机械重振当地经济。清理废墟，修复受损设备，重建被恶劣天气摧毁的道路和桥梁，还有更多任务等你完成！,未知,Focus Entertainment
九王 9 Kings,https://store.steampowered.com/app/2784470/_9_Kings/?snr=1_7_7_7000_150_1,2784470,93.0,60.45,92.0,92.0,[],"['牌组构建式类 Rogue', '回合战略', '卡牌战斗', '角色扮演', '单人', '像素图形', '奇幻', '类 Rogue', '黑暗奇幻', '重玩价值', '休闲', '卡牌游戏', '程序生成', '回合制', '轻度 Rogue', '2D', '策略', '牌组构建', '抢先体验', '困难']",2025-05-23,2025-05-23,一款快节奏的王国建造类Roguelike游戏，数百张独特卡牌，数千种疯狂构筑，突破游戏规则……与九王史诗对决、赢得战斗、扩展帝国，成就众王之王！,未知,Hooded Horse
《暗黑破坏神® IV》,https://store.steampowered.com/app/2344520/_IV/?snr=1_7_7_7000_150_1,2344520,335.0,184.25,71.0,57.0,[],"['血腥', '指向点击', '等角视角', '探索', '玩家对战环境', '迷宫探索', '多人', '动作', '第三人称', '角色扮演', '单人', '刷宝', '奇幻', '在线合作', '黑暗奇幻', '动作角色扮演', '合作', '暴力', '剧情丰富', '砍杀']",2024-10-07,2023-10-17,进入《暗黑破坏神® IV》的世界，在捍卫庇护之地的战斗中，开启前所未有的动作 RPG 冒险。亲身体验备受赞誉的游戏剧情和全新赛季内容。,未知,"Blizzard Entertainment, Inc."
魔女庭院,https://store.steampowered.com/app/2530470/_/?snr=1_7_7_7000_150_1,2530470,110.0,88.0,95.0,95.0,[],"['独立', '猫', '动作类 Rogue', '氛围', '动作', '迷宫探索', '第三人称', '角色扮演', '单人', '类 Rogue', '魔法', '可爱', '休闲', '卡通', '女性主角', '3D', '轻度 Rogue', '2D', '抢先体验', '砍杀']",2025-05-23,2025-05-23,『魔女庭院』是一款充满了美妙感情和刺激冒险的roguelike动作游戏。主人公“茜尔”正因为那些随心所欲的魔女们头疼不已，快帮助她，一起拯救“庭院”吧！,未知,Team Tapas
底特律：化身为人,https://store.steampowered.com/app/1222140/_/?snr=1_7_7_7000_150_1,1222140,225.0,67.5,95.0,96.0,[],"['机器人', '未来', '电影式', '氛围', '情感', '好评原声音轨', '唯美', '第三人称', '单人', '多结局', '重玩价值', '选择取向', '科幻', '女性主角', '赛博朋克', '暴力', '动态旁白', '冒险', '剧情丰富', '记叙']",2020-06-18,2020-06-18,在《底特律：化身为人》中，人类和机器人的命运都将掌握在您的手中，您将走进一个不远的未来，一个机器人具有比人类更高智慧的时代。您将体验到史上最为复杂的分支故事——您所作出的每个选择都将影响游戏的结局。,未知,Quantic Dream
Monster Hunter Wilds - 追加阿尔玛服装“嘉米套装【SF6】”,https://store.steampowered.com/app/3360500/Monster_Hunter_Wilds__SF6/?snr=1_7_7_7000_150_1,3360500,,,80.0,80.0,[],"['动作', '冒险', '角色扮演']",2025-05-27,2025-05-27,未知,未知,未知
勇者斗恶龙 创世小玩家2 破坏神席德与空荡岛,https://store.steampowered.com/app/1072420/_2/?snr=1_7_7_7000_150_1,1072420,319.0,159.5,92.0,89.0,[],"['角色自定义', '制作', '动漫', '平台游戏', '彩色', '动作', '多人', '第三人称', '角色扮演', '单人', '建造', '日系角色扮演', '合作', '可爱', '开放世界', '体素', '沙盒', '开放世界生存制作', '生存', '冒险']",2019-12-10,2019-12-10,《勇者斗恶龙 创世小玩家2》是款方块建造游戏。在迷人的单人战役中探索、战斗、创造和收获，或是在最多支持4位玩家的在线沙盒模式中建造宏伟奇观。,未知,Square Enix
HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1,553850,,,77.0,,[],[],2024-02-08,,未知,未知,未知
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_7000_150_1,359550,139.0,55.6,84.0,74.0,[],"['团队导向', '英雄射击', '动作', '多人', '竞技', '射击', '第一人称', '战术', '在线合作', '合作', '拟真', '玩家对战', '破坏', '战争', '3D', '军事', '策略', '第一人称射击', '电竞', '困难']",2015-12-01,2015-12-01,《彩虹六号®：围攻》是一款精英团队战术射击游戏，高超的策略和行动力是制胜关键。,未知,Ubisoft
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_7000_150_2,251570,,,88.0,87.0,[],"['角色自定义', '探索', '模拟', '动作', '多人', '基地建设', '僵尸', '恐怖', '建造', '在线合作', '开放世界', '体素', '程序生成', '沙盒', '后末日', '开放世界生存制作', '塔防', '策略', '生存', '第一人称射击']",2024-07-25,2024-07-25,《7 Days》是一款开放世界游戏，独具特色地融合了第一人称射击、生存恐怖、塔防和角色扮演等多种游戏的特征。快来体验这款具有开创性的终极丧尸生存沙盒角色扮演游戏吧。纳维戈恩在等着你！,未知,The Fun Pimps Entertainment LLC
The Planet Crafter,https://store.steampowered.com/app/1284190/The_Planet_Crafter/?snr=1_7_7_7000_150_3,1284190,140.0,77.0,96.0,94.0,[],"['制作', '外星人', '探索', '基地建设', '自动化', '资源管理', '沉浸式模拟', '单人', '第一人称', '建造', '在线合作', '合作', '开放世界', '太空', '科幻', '沙盒', '开放世界生存制作', '生存', '冒险', '剧情丰富']",2024-04-10,2024-04-10,这是一款太空生存开放世界类地化改造游戏，既可单人畅玩，也可供多达10名玩家同乐。改变荒芜星球的生态系统，让其适合人类定居。努力求生，收集资源，建设自己的基地；然后生成氧气、增加热量、调节大气压，打造全新的生物圈。,未知,Miju Games
永恒轮回,https://store.steampowered.com/app/1049590/_/?snr=1_7_7_7000_150_3,1049590,,,79.0,71.0,[],"['角色自定义', '独立', '指向点击', '制作', '动漫', '多人在线战术竞技', '色情内容', '大型多人在线角色扮演', '即时战术', '动作', '多人', '战术', '免费开玩', '玩家对战', '3D', '策略', '俯视', '生存', '战斗', '电竞']",2023-07-19,2023-07-19,永恒轮回是一款采用俯视视角免费的竞技生存游戏。 体验制作、狩猎、战斗和各种风格迥异的角色 通过生存策略和精彩刺激的战斗玩法，成为生存实验中最后的幸存者！,未知,Nimble Neuron
信長之野望･新生,https://store.steampowered.com/app/1336980/_/?snr=1_7_7_7000_150_3,1336980,,,74.0,68.0,[],"['即时战略', '大战略', '好评原声音轨', '模拟', '即时战术', '沉浸式模拟', '资源管理', '单人', '战术', '战争游戏', '重玩价值', '3D', '架空历史', '军事', '策略', '史诗级', '欲罢不能', '历史', '剧情丰富']",2022-07-20,2022-07-20,深思熟虑的“活生生武将”！体验“真真切切的战国”吧！与个性鲜明的家臣们君臣一体推动历史吧！这就是历史模拟游戏之巅峰“信长之野望”系列的最新作，KOU SHIBUSAWA 40周年纪念作品。,未知,"KOEI TECMO GAMES CO., LTD."
Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_7000_150_3,1174180,430.90000000000003,107.7,92.0,93.0,[],"['血腥', '好评原声音轨', '氛围', '唯美', '动作', '多人', '第三人称射击', '射击', '第三人称', '单人', '第一人称', '开放世界', '拟真', '沙盒', '西部', '马匹', '第一人称射击', '冒险', '剧情丰富', '成人']",2019-12-05,2019-12-05,Red Dead Redemption 2 已荣获超过 175 项年度游戏奖项且获得超过 250 个满分评价，游戏中述说亚瑟·摩根和声名狼藉的范德林德帮派的传奇故事，体验在 19 世纪的最后岁月里横跨美国的亡命之旅。除此之外，还可免费享受 Red Dead 在线模式中与众多玩家共享的逼真世界。,未知,Rockstar Games
Monster Hunter Wilds - 追加肢体动作“Street Fighter 6 升龙拳”,https://store.steampowered.com/app/3360520/Monster_Hunter_Wilds__Street_Fighter_6/?snr=1_7_7_7000_150_3,3360520,,,14.0,14.0,[],"['动作', '冒险', '角色扮演']",2025-05-27,2025-05-27,未知,未知,未知
Outer Wilds,https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_7_7_7000_150_3,753640,162.5,107.25,95.0,95.0,[],"['独立', '悬疑', '好评原声音轨', '氛围', '唯美', '探索', '模拟', '动作', '单人', '第一人称', '恐怖', '开放世界', '太空', '科幻', '3D', '心理恐怖', '史诗级', '解谜', '冒险', '剧情丰富']",2020-06-18,2020-06-18,Outer Wilds再添一项大奖，被Giant Bomb、Polygon、Eurogamer和The Guardian评为“2019年度游戏”！备受赞誉、屡获大奖的Outer Wilds是一款开放世界冒险类游戏，游戏背景是一个困在无尽的时间循环之中的太阳系。,未知,Annapurna Interactive
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_3,108600,115.0,77.05000000000001,94.0,,[],[],2013-11-08,,未知,未知,未知
三角洲行动,https://store.steampowered.com/app/2507950/_/?snr=1_7_7_7000_150_3,2507950,,,63.0,,[],[],2024-12-04,,未知,未知,未知
